ds,total,total/State 1,total/State 1/Zone P,total/State 1/Zone Q,total/State 1/Zone R,total/State 2,total/State 2/Zone P,total/State 2/Zone Q,total/State 2/Zone R,total/State 3,total/State 3/Zone P,total/State 3/Zone Q,total/State 3/Zone R
2023-03-26,67909.6171875,18877.77734375,5714.232421875,6134.262593711945,6312.015627330419,25219.243401865748,9256.267578125,8051.486947236851,8580.8935546875,15439.676641440818,4411.3466796875,5128.03340362533,5785.286952472498
2023-03-27,60011.4609375,16275.1806640625,6085.10009765625,6979.617786078317,6071.936688234727,22743.576288154865,8582.80859375,8627.268772576994,8599.2294921875,12652.57886117526,4326.8359375,4459.1781115532385,5026.587081611039
2023-03-28,54514.61328125,18074.6875,6216.4169921875,6338.220601718786,6657.309318255273,24564.734080851304,8667.6533203125,8208.32954520464,8620.3642578125,14811.868843237893,5126.283203125,4463.790705711436,5288.087937559598
2023-03-29,59658.609375,18745.19140625,7314.1015625,6620.007997854051,6118.211025391878,25637.155286153036,8928.5224609375,9141.532299088076,9141.6435546875,15049.699385749569,4925.5087890625,4737.825501811552,5568.69345954004
2023-03-30,61064.53125,18287.302734375,6062.0341796875,6389.862163689173,6560.409477782314,25216.24341970673,8998.9931640625,8284.114748169826,9638.484375,15431.053171494847,4980.92236328125,5006.133882828043,5202.014699722892
2023-03-31,62532.421875,17979.326171875,6070.8193359375,6681.012642559103,6225.925106235237,26125.072871793647,10460.2373046875,8814.262996394427,9451.8798828125,15923.69898359372,5149.25927734375,5730.96859595652,5305.282376123104
2023-04-01,71390.8984375,19928.759765625,6675.13720703125,7197.137525226532,6711.204811546363,29509.296230507403,9144.9150390625,9359.839954761077,9546.955078125,16636.472159099554,5069.6123046875,5594.153618368457,5744.162296686186
2023-04-02,68947.984375,19705.216796875,6004.349609375,6380.659774501355,6771.122671017401,28125.627135032046,9601.5693359375,9078.439436099372,9274.7861328125,15688.830575368658,5694.35107421875,4928.856426378564,5235.005419955873
2023-04-03,55486.90234375,15892.248046875,5966.609375,6642.312932369742,6905.868715958468,28192.31256882702,9099.77734375,8598.313937439803,8636.4140625,15023.580507789024,4864.70849609375,5389.256779396087,4870.707871482285
2023-04-04,57855.0703125,15558.623046875,5909.15234375,6623.694390891527,6405.34795910992,25026.001604130604,9147.26953125,8518.193214648667,8731.697265625,15182.441133386194,4851.41650390625,4965.344623137401,4536.035932908854
2023-04-05,58132.10546875,15861.40234375,6224.90234375,6314.40964472972,6403.76605933612,26518.655581337334,8905.3056640625,8027.718346313209,8849.02734375,14794.71253193641,5187.15771484375,5204.342465082427,4933.911691261387
2023-04-06,59822.62109375,16921.380859375,6341.61767578125,6223.579239836845,6521.873707081181,24439.163280595294,9002.1689453125,8190.537458945574,8766.22265625,14278.798242163206,4823.13037109375,5477.153685235344,4991.399858770407
2023-04-07,57287.48828125,17818.802734375,6216.974609375,6586.445539025379,6818.850288247915,26653.88986650505,8933.068359375,8641.656700397447,8821.560546875,14725.438920334007,5158.0986328125,4820.7111743233745,5617.393088579945
2023-04-08,69502.890625,23417.447265625,6342.79833984375,6773.487815698803,6466.609691119664,28402.26854056075,9208.7724609375,9485.235131113304,9171.1787109375,16639.330582938255,5024.5908203125,6421.213173544926,4740.35149298855
2023-04-09,63363.90625,17487.84375,5986.9453125,6317.575655848963,6153.44253757068,29305.8337394544,8985.490234375,8920.338589126248,9081.3623046875,14628.69593866551,5096.42578125,4370.0647088498645,4672.179776690116
2023-04-10,49083.71875,16818.96484375,5636.82373046875,6262.362436984147,6276.548656645736,23856.9004482998,9361.6201171875,8919.489262292906,8506.4912109375,13897.361715866926,5540.76171875,5212.316656739222,4499.34393236381
2023-04-11,53371.79296875,19115.025390625,6014.00634765625,6262.758654904354,6177.824741609742,25929.235538855934,8966.892578125,9137.862252069777,8237.0029296875,15056.60611594117,5201.861328125,5357.368907062549,4620.5366160533895
2023-04-12,60075.80078125,18280.759765625,5979.15966796875,6152.238536494817,6448.385925335523,23560.41026947905,9088.51171875,9734.75121525022,8271.427734375,16500.81098751289,5309.8779296875,5406.6348598546065,4563.6524075391635
2023-04-13,59412.5859375,17307.26953125,5841.0498046875,6298.84114738775,6728.9195274726235,24318.607197624402,9001.5078125,8987.2868265554,8921.62109375,15875.962759939854,5346.97509765625,4902.19186096733,4653.652249638878
2023-04-14,60673.828125,19324.712890625,5880.21533203125,6232.984084140598,6779.918134002268,21819.34744230841,8160.73193359375,8780.98049429629,8871.8818359375,15979.11147204483,5682.087890625,4529.420461888071,5205.827223114495
2023-04-15,62523.55859375,18274.75,6350.232421875,6418.743341086567,6439.66530900448,31782.439655063026,9205.9404296875,8749.634839666594,8905.291015625,15533.327944264347,4936.71337890625,5074.091231807169,5289.882840010726
2023-04-16,69477.71875,21903.884765625,6417.4130859375,6497.149637210492,6131.00731342162,28656.3810285175,9524.8974609375,9038.43413994321,8414.4697265625,15119.327659572116,5357.8095703125,4232.692619927969,5114.364933006312
2023-04-17,51909.375,16637.31640625,6477.01123046875,6010.144484195724,6591.497179061173,24609.79251427129,8927.3203125,8510.734124825614,8561.068359375,13917.596636660619,4878.67138671875,5089.716411293434,5052.207763200269
2023-04-18,59531.69921875,17420.861328125,6393.3720703125,5727.496436701089,6413.6994331767455,26414.40433334587,9093.2919921875,7857.820129760899,8685.4521484375,14704.455355406102,5277.25439453125,4656.639857635223,5265.8297402055305
2023-04-19,60915.98046875,18445.16796875,6474.1689453125,5888.482815643981,6593.974961411586,25929.55603247844,8984.6650390625,8832.45510817588,9393.244140625,14888.061207458002,4790.83544921875,4897.873638062468,4916.124445177786
2023-04-20,61542.52734375,17815.330078125,6317.95458984375,6367.515198982187,6812.252274313169,25685.514597579517,8994.5576171875,8801.971282614519,8918.6962890625,15600.35712873399,4804.92724609375,5014.845384293061,5041.297474027377
2023-04-21,60833.51171875,20063.43359375,6293.5615234375,6482.510569798942,6401.614419424064,26380.925477116747,9013.9990234375,8963.090019779313,8711.072265625,14372.547740163856,4940.52197265625,5098.056398046517,4986.868437936684
2023-04-22,74831.09375,22738.23046875,6324.07958984375,7113.241998189515,6513.904006775556,32582.099453311894,9251.0087890625,8823.136966567556,9796.904296875,15690.375293233988,5099.81591796875,5374.05475252698,5776.34759077237
2023-04-23,77433.96875,20124.193359375,6022.52197265625,6610.071826892244,6266.792250081555,29720.338487609504,8965.9677734375,9633.519598770528,9288.904296875,17636.385822024717,5108.9853515625,4602.78018316686,5219.960515003232
2023-04-24,55612.10546875,18361.416015625,6329.3515625,6751.277784373273,6610.887882058296,25157.935313551512,8957.5859375,8572.366154482736,9320.400390625,13545.346187620735,5102.9140625,4209.894842172697,5081.813292902789
2023-04-25,60864.15625,18892.4296875,6559.4150390625,5856.956442273125,6475.495369812965,26053.83570258387,10226.474609375,8548.599444366753,9698.767578125,15133.13420856202,4699.955078125,4089.5353110845717,5377.710968901091
2023-04-26,61390.68359375,18437.73046875,6461.2705078125,5945.759403072295,6761.653497780815,25708.817668877506,9299.2177734375,8463.546793949343,9221.0078125,16349.7850721605,5171.34716796875,4965.771371245001,4824.168505694546
2023-04-27,57224.73046875,18287.978515625,6601.68798828125,6682.545432194843,6319.548071374427,28491.645795216045,9569.1953125,9109.807797457464,9810.5234375,14552.827811155943,4963.04833984375,4424.022074943362,5377.9707716756
2023-04-28,56691.421875,18269.541015625,6443.26904296875,6932.105659837978,6175.473962643797,27857.86381039398,9267.0849609375,8695.980177991642,9236.767578125,14894.255561866576,5058.5673828125,4797.787742818281,5366.50721364047
2023-04-29,69050.75,18275.8203125,6688.34326171875,6352.98868406173,6601.60477243004,30491.238563758252,9435.716796875,9666.861147096102,9650.51953125,17523.924591322015,5363.353515625,6003.649280622145,5776.433513035919
2023-04-30,69506.640625,21671.833984375,6457.46044921875,6334.338652137099,6875.180002696195,30232.169938517934,9583.3037109375,9528.06585797087,8845.560546875,17447.876987529595,5402.203125,4480.128767793316,5562.956677289193
2023-05-01,48192.5546875,17488.54296875,6614.2587890625,6126.602500459736,6217.208766238463,28750.98768340441,9069.5419921875,8297.864423659632,8414.1533203125,12613.132385485098,4940.7705078125,4305.137072658592,4892.331824805743
2023-05-02,59844.23828125,17547.359375,6224.783203125,5706.127874241007,6222.068778879531,26669.20548503604,8846.8212890625,8180.577560864827,8378.1953125,15152.284518132763,4903.3134765625,4823.871426910484,5619.024436613043
2023-05-03,59291.7734375,17803.64453125,6592.2998046875,6105.732377554872,6146.620421175533,24792.495831531534,9084.3681640625,8242.903844247863,9100.185546875,16413.300428854207,4836.708984375,4402.728165604907,5486.28160680091
2023-05-04,57179.78125,17661.62890625,6401.32763671875,6129.3847571212655,6293.556065596477,24062.07713184847,8931.9052734375,8541.450919596258,8703.78515625,14289.5480301183,5312.86865234375,4767.840987923012,5228.972182111994
2023-05-05,61401.56640625,18566.720703125,6632.990234375,5525.863739951061,6168.518188289806,26139.597651884877,8905.44921875,8671.952615088318,9761.33203125,14279.691178241155,4890.3603515625,4825.697971598942,6197.446869686658
2023-05-06,69542.609375,19916.17578125,6984.1142578125,6071.135408735138,6166.585409767601,29604.178282696284,10903.7314453125,9572.966514716592,8732.1044921875,16429.210726938923,5342.04833984375,5671.674161721093,5744.184662103313
2023-05-07,70963.2734375,19542.025390625,5994.048828125,5621.208171226691,5852.742112764668,30068.034252036734,9252.943359375,9833.678698282065,8534.501953125,16586.104334012012,5098.4404296875,5667.107177200383,5524.4108246379
2023-05-08,57828.44921875,18573.5234375,6612.88916015625,5914.7260769051345,5928.146936332197,21593.34623330041,9189.5703125,7363.661505914976,8489.3837890625,12306.828958554906,4727.6240234375,5249.868985961326,4957.011067490391
2023-05-09,56948.55078125,17375.5390625,6498.40869140625,6148.637519643068,6370.699283467038,22605.79272773081,8884.916015625,8127.745815398086,8241.7177734375,14112.83981708277,4923.06201171875,5172.101273273479,5176.568055056407
2023-05-10,60526.49609375,18848.03125,6487.4970703125,5949.876949007647,6080.626486818546,26160.28850959495,8904.9140625,9208.05168712658,8536.7158203125,14715.635805278087,5042.08544921875,4664.04906617084,4998.500892960376
2023-05-11,57863.26171875,18877.662109375,6198.49169921875,6024.6520019872705,6456.76205862835,25517.67036632117,8907.63671875,9288.205407532849,8343.9580078125,13741.190666321096,4724.90478515625,4644.881642182196,5011.505866256062
2023-05-12,60421.00390625,18881.837890625,6362.822265625,6023.331083235204,5633.097102905212,27267.58060103804,8945.6376953125,8084.467658945453,9305.2802734375,14122.750788489057,5096.896484375,4820.099445873939,5824.437277718151
2023-05-13,71736.859375,19460.572265625,6171.8134765625,6573.844245408082,6233.161752102928,31078.89740986836,10426.6865234375,9138.133106382096,9494.5703125,17438.527338103755,5141.66259765625,6346.638813769098,5759.8413438019625
2023-05-14,59364.56640625,18721.56640625,6198.369140625,6160.828502005974,6225.419140885181,26679.36702599041,9211.4306640625,8568.995032629691,8301.3876953125,15302.419228452307,4931.369140625,4772.953891959885,5731.808415084373
2023-05-15,52161.609375,18522.736328125,6143.45654296875,6383.204858954717,6513.915941222423,21693.838971061043,9056.548828125,8069.7235324508165,8469.9765625,12515.431058230462,5021.26171875,4190.421650841665,5490.751797397165
2023-05-16,54409.1875,21840.830078125,6273.759765625,6407.028975419444,6395.871709811986,23611.24566332696,8824.6357421875,9565.68672095707,9234.52734375,13608.94239129362,5062.82177734375,5103.5776873832765,5440.6466309219495
2023-05-17,60185.8046875,19217.38671875,6090.62451171875,6570.08745328511,6097.7277933982305,26476.057436445026,8853.779296875,8367.490676931333,8951.234375,15086.597575581442,4952.2822265625,4744.358763382812,5168.9600221036635
2023-05-18,61007.2578125,19437.71875,6181.48486328125,6277.390398451607,6659.678054769631,25094.753253563784,8794.5615234375,9299.571323194046,8575.0986328125,13671.518951717626,4488.5986328125,5052.7133401103665,5323.387415010627
2023-05-19,61100.9765625,19388.107421875,6292.3447265625,6083.842799701229,6344.1239414470065,26428.954004920743,8979.4736328125,8628.050904573634,9327.46875,14174.861421929114,5025.89111328125,4933.186930215672,5057.352914467648
2023-05-20,65825.1171875,19349.12109375,6261.38525390625,6360.910165701379,6213.864851832911,28453.721304642633,9302.63671875,9323.93544766939,9372.337890625,16313.617625079572,4691.2470703125,5219.666399840588,5708.682025699595
2023-05-21,63925.3125,19964.6171875,6460.115234375,6188.573422388929,6390.213741421065,29762.531492865914,9187.6572265625,8253.276577818307,9230.9609375,13342.48961741004,4646.5615234375,4724.728167062545,5440.682861843439
2023-05-22,55362.734375,22736.3984375,6255.3740234375,6025.062008784526,6652.758091909861,23413.83730457852,9186.1328125,7724.278459266393,9854.7109375,13587.505633970977,4831.7666015625,4356.700691893555,4881.123490812853
2023-05-23,61352.6875,21178.150390625,6535.74072265625,6109.826190976446,6162.997409078962,25685.83198564412,9032.6298828125,7703.349680209642,8373.1884765625,15018.333423178767,4794.708984375,4829.2347148921435,5341.146594401568
2023-05-24,62829.51171875,21135.16015625,6528.24755859375,6066.917116944437,6326.333951188731,28777.20196571735,8832.66015625,8413.679979338856,8601.7421875,15303.349263750952,4686.3564453125,5736.911599750522,4933.969710460564
2023-05-25,67604.5,21197.779296875,6399.31494140625,6240.385218061416,6331.837541785628,27621.14434115326,8811.03515625,9792.881305455798,8507.568359375,15204.428927371002,4775.53173828125,4477.454265232451,5435.13050363274
2023-05-26,57382.61328125,19515.158203125,6301.3642578125,5859.880739634905,6059.423908573927,27204.048087063526,10048.587890625,9756.006780546957,9148.251953125,15415.008906337454,4719.91357421875,4773.554073048466,5511.845962500857
2023-05-27,65849.6796875,20885.224609375,6276.123046875,6725.750318269225,6457.7396067763275,26887.087584923298,9616.7265625,8752.787378997931,8989.421875,14873.053414318038,4812.18701171875,4842.115050174604,6249.454836487743
2023-05-28,65372.8046875,19031.951171875,6768.84521484375,6083.7416175863455,6093.87859404303,24123.561006812586,8054.552734375,8992.152289768444,8894.9287109375,17938.20843404822,4803.7275390625,5219.838247652614,5195.264623835592
2023-05-29,47124.66796875,19962.89453125,5941.59326171875,6937.966160255073,6068.198329708798,22014.594134289433,7566.876953125,8256.254352969416,8032.92138671875,13309.269075598955,4414.40576171875,4723.984094922341,4449.49668668477
2023-05-30,52256.83203125,17510.001953125,6214.0478515625,6768.205974381002,6260.32205259415,26216.99050230859,8018.90966796875,8952.008384062976,8506.0009765625,14022.243467984534,4909.1669921875,5165.117084178306,4740.898451955175
2023-05-31,59952.83984375,16191.4736328125,6172.21826171875,5917.0259582849285,6024.026429911399,27364.597211745768,8253.4375,10340.473853810328,7785.31494140625,14394.669388224707,5130.76318359375,5561.289950995042,4707.960431767794
2023-06-01,56325.55859375,17174.216796875,5985.26953125,5122.981956396932,5391.058940006697,24445.291505383502,8216.6962890625,8678.918987439558,8230.3037109375,14187.96315124592,4680.5283203125,4135.518895911125,4289.516646690164
2023-06-02,47875.2265625,16915.3046875,6070.20068359375,5325.816315746861,5333.283744814618,23865.14456853026,8779.591796875,6477.996822965282,7476.5595703125,12828.998714961486,4262.96484375,4630.370984442796,4193.750786345399
2023-06-03,50841.33203125,17010.34375,6647.849609375,5852.9321466015845,5429.973853887784,28056.432419678815,8142.0703125,7400.417940723268,7250.18212890625,13893.577408917216,4758.62890625,4251.598779153891,4764.088402853521
2023-06-04,50235.11328125,14012.40625,5536.39013671875,5628.689758684561,5144.474050074799,25500.013238925607,7932.0771484375,8226.389587667265,7197.40478515625,12669.298115768752,3855.103759765625,4267.058469148908,4122.46356752367
2023-06-05,48802.0078125,14048.826171875,5116.98095703125,5525.110411354505,5479.1980949838435,26248.012064467912,8245.978515625,7515.707172040948,6899.76611328125,11959.49320687896,4107.04541015625,3845.231515793842,3990.1784178621638
2023-06-06,45930.4140625,12993.0009765625,4606.328125,4940.576938777096,5144.140658393269,20232.634048233136,8665.4248046875,8136.718859638974,6478.3837890625,11491.141147050428,3880.880615234375,4013.3352591606053,3751.49249309157
2023-06-07,50061.09765625,13961.7421875,5319.2685546875,5192.057595881044,4974.806903148351,20493.36068995114,6777.5830078125,7257.465366938275,6746.19921875,12177.659950846195,3729.940673828125,3971.8985507908196,4283.586211450662
2023-06-08,42316.109375,13722.8515625,5256.98046875,4659.570343180047,5158.428923798159,18985.55400108756,7799.4814453125,6944.534277887428,6739.341796875,11282.555942892592,3739.60693359375,3888.9571187052156,3747.3696640020453
2023-06-09,44621.27734375,14190.181640625,5002.876953125,4594.657069778176,4799.658273386101,20818.948079909344,7896.7490234375,6775.142510819716,5903.904296875,11023.679643073896,3572.102294921875,3922.312247388557,3764.476618507905
2023-06-10,46167.265625,14485.517578125,4522.853515625,4701.0608047927935,4873.739453583953,19800.41671847329,6582.43212890625,6546.1100520656455,6664.0576171875,11268.901815474726,3777.46630859375,3830.983797942553,3501.788756244577
2023-06-11,51545.703125,14845.3935546875,4609.53857421875,4665.874333685169,4929.077860959385,19589.065239449974,6535.419921875,7246.6592581393,6462.5,12305.432998576807,3747.310791015625,4103.999967351783,3718.646687621602
2023-06-12,43238.8125,13268.8564453125,5151.291015625,5395.295638792153,4707.300723291667,21648.40649351521,7433.41455078125,7001.104040392855,6507.3466796875,10629.086281097236,3787.649169921875,4089.3798951343338,3498.2223978571583
2023-06-13,44465.85546875,12678.853515625,4449.46728515625,5226.164646526043,4366.78884173003,21435.931685140644,6563.4462890625,6683.352861084768,6770.06640625,11650.026656586588,3665.523193359375,3941.7359753730975,3651.876451640902
2023-06-14,43339.515625,13260.8876953125,4144.56103515625,5297.919957910962,4801.6803700831915,19771.307755774,6014.6552734375,6721.22334945564,6539.40966796875,10788.785204037536,3739.05419921875,4074.9969940742344,3669.570303016015
2023-06-15,42696.625,12428.693359375,4410.732421875,4976.369831902779,4791.431220380472,20126.43947025498,6231.24267578125,7534.907047225605,6372.2255859375,11339.63495797932,3675.104248046875,4026.471038679232,3575.6159343908953
2023-06-16,44050.51171875,12692.0517578125,4232.5986328125,5219.701384408297,4766.720464370714,19698.44624061413,6191.64794921875,6764.970911242073,6441.70263671875,11683.68410952299,3535.366943359375,3775.3747099603233,3570.112072704192
2023-06-17,49562.30078125,15237.001953125,4709.046875,4627.577262713961,5220.238783231707,21367.114064774763,6257.94189453125,7012.541106226149,6668.1357421875,12457.758132688488,3724.589599609375,3604.9317799832043,3935.8732635112683
2023-06-18,45647.17578125,14636.7060546875,4633.82568359375,4896.490764240822,5209.331906010657,18220.233575925817,6230.7548828125,6874.468633571289,6607.31640625,10742.075732297128,3793.947021484375,3921.867863736453,3728.396034125817
