ds,total,total/State 1,total/State 1/Zone P,total/State 1/Zone Q,total/State 1/Zone R,total/State 2,total/State 2/Zone P,total/State 2/Zone Q,total/State 2/Zone R,total/State 3,total/State 3/Zone P,total/State 3/Zone Q,total/State 3/Zone R
2023-03-26,65320.805585186274,20640.069370277124,6540.75199766158,6960.782169498529,7138.53520311702,27328.203273146926,9736.119309157528,8531.338678269354,9060.745285720028,17352.532941762227,5087.301981679807,5803.988705617627,6461.242254464795
2023-03-27,57990.43987990967,18506.31493423193,5874.986885077122,6769.504573499192,5861.823475655618,25025.774723937495,8321.631215557672,8366.091394384644,8338.05211399517,14458.350221740246,4542.085634525328,4674.427808578559,5241.83677863636
2023-03-28,55582.44974503112,17558.12500520453,5665.143023201819,5786.946632733109,6106.0353492696095,23996.75999363502,8167.790943747631,7708.467168639751,8120.501881247631,14027.564746191574,4842.750836390184,4180.258338976614,5004.555570824773
2023-03-29,59824.58994310234,18947.488275047195,6945.824125600417,6251.73056095447,5749.933588492314,25906.30561721625,8493.391561771896,8706.40139992245,8706.512655521898,14970.796050838915,4838.431555870779,4650.748268619825,5481.616226348311
2023-03-30,60577.503713919454,18833.82415813138,6002.540292011628,6330.368276013303,6500.91559010646,26007.85128864851,8694.412831201233,7979.534415308536,9333.904042138733,15735.828267139574,5163.174803717049,5188.386323263835,5384.267140158682
2023-03-31,62058.902959602805,18584.073086637087,5939.591336572576,6549.784643194183,6094.697106870332,27130.538886366718,9928.290205511601,8282.315897218503,8919.932783636601,16344.290986599013,5202.186189735635,5783.895508348397,5358.20928851498
2023-04-01,69675.75294143772,21378.798832216475,6940.243636502019,7462.243954697304,6976.311241017154,30431.258812914373,9938.097952717771,10153.022868416325,10340.13799178027,17865.695296306894,5555.53466354242,6080.075977223369,6230.084655541096
2023-04-02,67235.38636747102,20852.39411702641,6569.770296752546,6946.0804618789025,7336.543358394969,29367.3675831331,10072.426895365412,9549.296995527258,9745.64369224041,17015.624667311517,6080.154989804865,5314.66034196467,5620.809335541976
2023-04-03,56744.654921401,15854.569357750033,4746.5354864739365,5422.239043843681,5685.794827432422,26784.546329304438,9249.791005621548,8748.327599311331,8786.42772437155,14105.539234346536,4524.997191885223,5049.545475187554,4530.996567273751
2023-04-04,57514.22937930022,16659.146658493934,5149.469665330825,5864.011712472354,5645.665280690761,25624.421905878684,8889.690162701676,8260.613846100323,8474.117897076676,15230.660814927596,5144.037755564618,5257.965874795762,4828.657184567214
2023-04-05,58058.753989457706,16686.834879235666,5472.821287556606,5562.328588536327,5651.685003142743,26389.518134003632,9107.794590688476,8230.207272939166,9051.516270375978,14982.400976218409,5072.820749854036,5090.005500092705,4819.574726271663
2023-04-06,58896.86927603516,18157.11716349218,6031.63318937888,5913.594753434477,6211.889220678829,25513.418588859593,8853.665454763011,8042.033968396064,8617.719165700511,15226.333523683395,4801.346907288385,5455.370221429972,4969.6163949650345
2023-04-07,58061.27292568488,17689.331176617146,5572.661522697945,5942.132452348326,6174.537201570878,26009.150318214466,8804.023263230676,8512.611604253101,8692.515450730678,14362.791430853284,4746.961477858325,4409.574019369192,5206.255933625761
2023-04-08,68810.56864837448,22978.050893353422,7474.516688740813,7905.206164595868,7598.32804001675,28787.23946363675,9516.123514486982,9792.586184662765,9478.529764486986,17045.27829138431,5310.965088491949,6707.587441724367,5026.72576116799
2023-04-09,62625.08472578906,18284.489832138093,5929.120754572811,6259.75109792178,6095.61797964351,29280.289229796163,9749.856268244144,9684.704622995368,9845.728338556644,15060.305663854813,5403.6375802716175,4677.276507871473,4979.391575711723
