Unnamed: 0,index,total,state,zone,ds,y,holiday
870,870,total,State 3,Zone Q,2020-01-01,7387,0.0
12065,12065,total,State 1,Zone P,2020-01-01,10030,0.0
8611,8611,total,State 1,Zone R,2020-01-01,10088,0.0
1664,1664,total,State 2,Zone Q,2020-01-01,9313,0.0
7319,7319,total,State 2,Zone P,2020-01-01,7750,0.0
12032,12032,total,State 3,Zone R,2020-01-01,7519,0.0
13141,13141,total,State 3,Zone P,2020-01-01,5843,0.0
5424,5424,total,State 1,Zone Q,2020-01-01,10257,0.0
1482,1482,total,State 2,Zone R,2020-01-01,13578,0.0
6049,6049,total,State 3,Zone P,2020-01-02,7312,0.0
2208,2208,total,State 2,Zone R,2020-01-02,12195,0.0
10839,10839,total,State 1,Zone Q,2020-01-02,10408,0.0
355,355,total,State 2,Zone Q,2020-01-02,13906,0.0
6726,6726,total,State 1,Zone R,2020-01-02,10321,0.0
2738,2738,total,State 1,Zone P,2020-01-02,8558,0.0
6324,6324,total,State 3,Zone Q,2020-01-02,4835,0.0
1742,1742,total,State 3,Zone R,2020-01-02,8536,0.0
1237,1237,total,State 2,Zone P,2020-01-02,10593,0.0
4008,4008,total,State 2,Zone Q,2020-01-03,8950,0.0
5981,5981,total,State 1,Zone R,2020-01-03,6433,0.0
2064,2064,total,State 1,Zone P,2020-01-03,8928,0.0
11313,11313,total,State 3,Zone P,2020-01-03,8330,0.0
7244,7244,total,State 3,Zone R,2020-01-03,6444,0.0
2400,2400,total,State 1,Zone Q,2020-01-03,10169,0.0
6007,6007,total,State 2,Zone R,2020-01-03,11346,0.0
6459,6459,total,State 3,Zone Q,2020-01-03,5354,0.0
4752,4752,total,State 2,Zone P,2020-01-03,10897,0.0
11939,11939,total,State 1,Zone P,2020-01-04,8572,0.0
12165,12165,total,State 3,Zone Q,2020-01-04,8855,0.0
6514,6514,total,State 2,Zone P,2020-01-04,15729,0.0
5806,5806,total,State 1,Zone R,2020-01-04,11522,0.0
4645,4645,total,State 1,Zone Q,2020-01-04,8387,0.0
2901,2901,total,State 2,Zone R,2020-01-04,16784,0.0
10109,10109,total,State 3,Zone P,2020-01-04,10149,0.0
8696,8696,total,State 3,Zone R,2020-01-04,7296,0.0
4031,4031,total,State 2,Zone Q,2020-01-04,17087,0.0
3233,3233,total,State 3,Zone R,2020-01-05,8613,0.0
7057,7057,total,State 2,Zone R,2020-01-05,15087,0.0
1510,1510,total,State 3,Zone Q,2020-01-05,7511,0.0
6616,6616,total,State 3,Zone P,2020-01-05,6104,0.0
9168,9168,total,State 1,Zone R,2020-01-05,9356,0.0
10445,10445,total,State 1,Zone P,2020-01-05,10468,0.0
8094,8094,total,State 2,Zone Q,2020-01-05,15039,0.0
10874,10874,total,State 1,Zone Q,2020-01-05,8933,0.0
188,188,total,State 2,Zone P,2020-01-05,16444,0.0
3025,3025,total,State 3,Zone P,2020-01-06,4846,1.0
11628,11628,total,State 2,Zone R,2020-01-06,7430,1.0
2870,2870,total,State 1,Zone Q,2020-01-06,4668,1.0
8726,8726,total,State 1,Zone P,2020-01-06,7892,1.0
10598,10598,total,State 2,Zone P,2020-01-06,11208,1.0
6844,6844,total,State 1,Zone R,2020-01-06,7011,1.0
7535,7535,total,State 3,Zone Q,2020-01-06,6694,1.0
946,946,total,State 2,Zone Q,2020-01-06,10894,1.0
2721,2721,total,State 3,Zone R,2020-01-06,4015,1.0
10355,10355,total,State 2,Zone P,2020-01-07,10666,0.0
730,730,total,State 1,Zone R,2020-01-07,9519,0.0
5138,5138,total,State 3,Zone R,2020-01-07,5242,0.0
1612,1612,total,State 2,Zone R,2020-01-07,14411,0.0
1389,1389,total,State 3,Zone P,2020-01-07,8014,0.0
8068,8068,total,State 1,Zone Q,2020-01-07,9920,0.0
3967,3967,total,State 1,Zone P,2020-01-07,6825,0.0
5124,5124,total,State 2,Zone Q,2020-01-07,13474,0.0
1410,1410,total,State 3,Zone Q,2020-01-07,8223,0.0
3282,3282,total,State 1,Zone R,2020-01-08,9211,0.0
6306,6306,total,State 2,Zone R,2020-01-08,14557,0.0
3417,3417,total,State 3,Zone Q,2020-01-08,4569,0.0
3649,3649,total,State 2,Zone Q,2020-01-08,12546,0.0
11418,11418,total,State 1,Zone P,2020-01-08,9082,0.0
207,207,total,State 1,Zone Q,2020-01-08,6304,0.0
2955,2955,total,State 3,Zone P,2020-01-08,8082,0.0
323,323,total,State 2,Zone P,2020-01-08,8031,0.0
12983,12983,total,State 3,Zone R,2020-01-08,7371,0.0
4613,4613,total,State 1,Zone Q,2020-01-09,9355,0.0
2421,2421,total,State 1,Zone R,2020-01-09,8076,0.0
6407,6407,total,State 1,Zone P,2020-01-09,10026,0.0
8758,8758,total,State 3,Zone P,2020-01-09,5391,0.0
10045,10045,total,State 2,Zone R,2020-01-09,12837,0.0
9293,9293,total,State 3,Zone Q,2020-01-09,8206,0.0
7761,7761,total,State 3,Zone R,2020-01-09,7309,0.0
4851,4851,total,State 2,Zone P,2020-01-09,11680,0.0
12103,12103,total,State 2,Zone Q,2020-01-09,12628,0.0
6979,6979,total,State 1,Zone P,2020-01-10,5367,0.0
11278,11278,total,State 2,Zone P,2020-01-10,10233,0.0
1575,1575,total,State 2,Zone R,2020-01-10,13038,0.0
647,647,total,State 1,Zone R,2020-01-10,6182,0.0
9305,9305,total,State 3,Zone R,2020-01-10,4465,0.0
2844,2844,total,State 2,Zone Q,2020-01-10,10883,0.0
10607,10607,total,State 3,Zone P,2020-01-10,6507,0.0
5059,5059,total,State 1,Zone Q,2020-01-10,7559,0.0
645,645,total,State 3,Zone Q,2020-01-10,6183,0.0
7137,7137,total,State 1,Zone R,2020-01-11,6495,0.0
