total,state,zone,date,sales
total,State 2,Zone P,2023-12-11,11988
total,State 3,Zone Q,2020-08-20,3190
total,State 2,Zone R,2021-08-07,9445
total,State 2,Zone Q,2020-03-25,11411
total,State 3,Zone P,2023-04-20,6495
total,State 2,Zone P,2023-04-19,7507
total,State 2,Zone Q,2021-07-12,3912
total,State 3,Zone Q,2021-02-05,6539
total,State 2,Zone P,2020-03-02,5858
total,State 1,Zone P,2021-05-30,7183
total,State 3,Zone Q,2020-04-07,5607
total,State 3,Zone R,2023-03-21,5857
total,State 3,Zone P,2021-11-18,5413
total,State 3,Zone P,2020-11-02,5637
total,State 1,Zone R,2020-03-28,5803
total,State 1,Zone Q,2023-04-11,5119
total,State 3,Zone P,2022-10-16,4477
total,State 3,Zone R,2021-01-03,5941
total,State 3,Zone R,2020-12-29,6363
total,State 1,Zone Q,2023-05-30,6175
total,State 2,Zone P,2021-08-27,6528
total,State 1,Zone Q,2021-01-22,5492
total,State 3,Zone Q,2022-08-20,3647
total,State 3,Zone R,2020-01-29,7025
total,State 2,Zone R,2023-11-09,13131
total,State 2,Zone P,2022-01-22,14504
total,State 1,Zone P,2020-12-06,12609
total,State 2,Zone Q,2021-05-07,9376
total,State 1,Zone P,2023-05-23,7739
total,State 2,Zone P,2020-02-18,10600
total,State 3,Zone Q,2021-03-10,4827
total,State 1,Zone P,2023-03-29,7489
total,State 2,Zone Q,2020-03-21,7241
total,State 1,Zone P,2023-10-20,7408
total,State 2,Zone Q,2022-01-25,10660
total,State 3,Zone Q,2021-02-11,4336
total,State 3,Zone Q,2023-10-27,3980
total,State 2,Zone Q,2021-08-15,5464
total,State 2,Zone R,2021-06-25,7407
total,State 1,Zone Q,2020-02-26,6271
total,State 2,Zone R,2020-01-31,11859
total,State 3,Zone Q,2023-02-16,4374
total,State 2,Zone R,2022-04-23,14106
total,State 2,Zone R,2021-01-24,11829
total,State 1,Zone R,2021-07-30,4733
total,State 2,Zone Q,2023-10-30,9080
total,State 1,Zone P,2020-11-19,5461
total,State 2,Zone R,2021-09-08,11495
total,State 2,Zone P,2020-05-04,5851
total,State 2,Zone R,2022-12-16,14539
total,State 3,Zone R,2023-03-16,5395
total,State 3,Zone Q,2020-03-11,5064
total,State 1,Zone Q,2020-04-25,5151
total,State 1,Zone R,2023-02-12,7866
total,State 1,Zone R,2021-05-02,7365
total,State 2,Zone P,2023-04-03,9285
total,State 1,Zone P,2023-09-24,5474
total,State 2,Zone P,2021-01-09,16750
total,State 3,Zone Q,2021-07-22,2449
total,State 1,Zone Q,2020-08-07,5750
total,State 3,Zone Q,2023-02-25,7147
total,State 2,Zone P,2022-06-24,4429
total,State 2,Zone Q,2022-08-04,4595
total,State 2,Zone P,2020-06-20,6423
total,State 3,Zone R,2021-03-26,4363
total,State 1,Zone P,2022-03-07,6473
total,State 3,Zone R,2023-11-03,6225
total,State 2,Zone Q,2023-08-30,5084
total,State 1,Zone Q,2021-01-23,11596
total,State 3,Zone R,2023-01-29,7431
total,State 2,Zone Q,2022-08-19,4244
total,State 1,Zone P,2023-01-07,7271
total,State 3,Zone P,2021-11-15,3629
total,State 3,Zone P,2023-06-02,3329
total,State 2,Zone R,2020-02-28,7823
total,State 1,Zone R,2021-01-17,11698
total,State 2,Zone R,2022-07-05,8008
total,State 3,Zone R,2022-11-21,5077
total,State 3,Zone R,2020-09-03,6209
total,State 3,Zone P,2020-01-31,4956
total,State 2,Zone R,2020-05-21,6248
total,State 2,Zone Q,2023-04-17,8892
total,State 1,Zone P,2021-09-01,5565
total,State 3,Zone R,2021-05-28,4535
total,State 2,Zone R,2020-10-19,7196
total,State 3,Zone P,2023-07-27,2935
total,State 1,Zone P,2023-10-10,4479
total,State 2,Zone R,2023-10-15,7504
total,State 3,Zone R,2023-01-08,8616
total,State 1,Zone Q,2021-12-15,9735
total,State 2,Zone R,2021-03-12,10052
total,State 3,Zone R,2021-01-09,9976
total,State 1,Zone P,2020-07-20,2910
total,State 1,Zone R,2023-01-19,10338
total,State 3,Zone R,2022-04-12,4837
total,State 2,Zone Q,2023-11-11,12491
total,State 3,Zone Q,2020-05-10,7164
total,State 1,Zone R,2020-02-05,5003
total,State 2,Zone R,2020-09-05,12583
