date,holiday
2020-01-06,1
2020-01-13,1
2020-01-20,1
2020-01-27,1
2020-02-03,1
2020-02-10,1
2020-02-17,1
2020-02-24,1
2020-03-02,1
2020-03-09,1
2020-03-16,1
2020-03-23,1
2020-03-30,1
2020-04-06,1
2020-04-13,1
2020-04-20,1
2020-04-27,1
2020-05-04,1
2020-05-11,1
2020-05-18,1
2020-05-25,1
2020-06-01,1
2020-06-08,1
2020-06-15,1
2020-06-22,1
2020-06-29,1
2020-07-06,1
2020-07-13,1
2020-07-20,1
2020-07-27,1
2020-08-03,1
2020-08-10,1
2020-08-17,1
2020-08-24,1
2020-08-31,1
2020-09-07,1
2020-09-14,1
2020-09-21,1
2020-09-28,1
2020-10-05,1
2020-10-12,1
2020-10-19,1
2020-10-26,1
2020-11-02,1
2020-11-09,1
2020-11-16,1
2020-11-23,1
2020-11-30,1
2020-12-07,1
2020-12-14,1
2020-12-21,1
2020-12-28,1
2021-01-04,1
2021-01-11,1
2021-01-18,1
2021-01-25,1
2021-02-01,1
2021-02-08,1
2021-02-15,1
2021-02-22,1
2021-03-01,1
2021-03-08,1
2021-03-15,1
2021-03-22,1
2021-03-29,1
2021-04-05,1
2021-04-12,1
2021-04-19,1
2021-04-26,1
2021-05-03,1
2021-05-10,1
2021-05-17,1
2021-05-24,1
2021-05-31,1
2021-06-07,1
2021-06-14,1
2021-06-21,1
2021-06-28,1
2021-07-05,1
2021-07-12,1
2021-07-19,1
2021-07-26,1
2021-08-02,1
2021-08-09,1
2021-08-16,1
2021-08-23,1
2021-08-30,1
2021-09-06,1
2021-09-13,1
2021-09-20,1
2021-09-27,1
2021-10-04,1
2021-10-11,1
2021-10-18,1
2021-10-25,1
2021-11-01,1
2021-11-08,1
2021-11-15,1
2021-11-22,1
2021-11-29,1
2021-12-06,1
2021-12-13,1
2021-12-20,1
2021-12-27,1
2022-01-03,1
2022-01-10,1
2022-01-17,1
2022-01-24,1
2022-01-31,1
2022-02-07,1
2022-02-14,1
2022-02-21,1
2022-02-28,1
2022-03-07,1
2022-03-14,1
2022-03-21,1
2022-03-28,1
2022-04-04,1
2022-04-11,1
2022-04-18,1
2022-04-25,1
2022-05-02,1
2022-05-09,1
2022-05-16,1
2022-05-23,1
2022-05-30,1
2022-06-06,1
2022-06-13,1
2022-06-20,1
2022-06-27,1
2022-07-04,1
2022-07-11,1
2022-07-18,1
2022-07-25,1
2022-08-01,1
2022-08-08,1
2022-08-15,1
2022-08-22,1
2022-08-29,1
2022-09-05,1
2022-09-12,1
2022-09-19,1
2022-09-26,1
2022-10-03,1
2022-10-10,1
2022-10-17,1
2022-10-24,1
2022-10-31,1
2022-11-07,1
2022-11-14,1
2022-11-21,1
2022-11-28,1
2022-12-05,1
2022-12-12,1
2022-12-19,1
2022-12-26,1
2023-01-02,1
2023-01-09,1
2023-01-16,1
2023-01-23,1
2023-01-30,1
2023-02-06,1
2023-02-13,1
2023-02-20,1
2023-02-27,1
2023-03-06,1
2023-03-13,1
2023-03-20,1
2023-03-27,1
2023-04-03,1
2023-04-10,1
2023-04-17,1
2023-04-24,1
2023-05-01,1
2023-05-08,1
2023-05-15,1
2023-05-22,1
2023-05-29,1
2023-06-05,1
2023-06-12,1
2023-06-19,1
2023-06-26,1
2023-07-03,1
2023-07-10,1
2023-07-17,1
2023-07-24,1
2023-07-31,1
2023-08-07,1
2023-08-14,1
2023-08-21,1
2023-08-28,1
2023-09-04,1
2023-09-11,1
2023-09-18,1
2023-09-25,1
2023-10-02,1
2023-10-09,1
2023-10-16,1
2023-10-23,1
2023-10-30,1
2023-11-06,1
2023-11-13,1
2023-11-20,1
2023-11-27,1
2023-12-04,1
2023-12-11,1
2023-12-18,1
2023-12-25,1
